"AGER" "RELAT" "familr" "sexer" "IMPNBS" "REJETS" "OPGNB" "MOYRV" "TAVEP" "ENDET" "GAGET" "GAGEC" "GAGEM" "KVUNB" "QSMOY" "QCRED" "DMVTP" "BOPPN" "FACAN" "LGAGT" "VIENB" "VIEMT" "UEMNB" "UEMMTS" "XLGNB" "XLGMT" "YLVNB" "YLVMT" "NBELTS" "MTELTS" "NBCATS" "MTCATS" "NBBECS" "MTBECS" "ROCNB" "NTCAS" "NPTAG" "SEGV2S" "ITAVC" "HAVEF" "JNBJD1S" "JNBJD2S" "JNBJD3S" "DEPTS" "PVS" "SEXEQ" "FAMIQ" "PCSPQ" "QUALS" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "jnbjdq1" "jnbjdq2" "jnbjdq3" "itavcq" "CARVP"
"3241987" 75 211 3 1 0 0 2 40 40835 0 6030 6030 0 1 18187 40 11 42 0 0 1 1922340 2 40835 0 0 2 40835 0 0 0 0 0 0 2 2 0 4 1963175 1922340 0 0 0 "31" "2" "femme" "M" "860" "A" "K0" "V1" "U2" "X0" "Y2" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T1" "D0" "B1" "J0" "J0" "J0" "I2" "oui"
"3258308" 52 38 3 1 0 0 3 53 52913 6 271749 0 271749 2 6333 53 11 72 0 0 0 0 3 52913 1 2216 2 50697 0 0 0 0 0 0 29 4 0 6 165849 5753 34 24 28 "31" "1" "femme" "M" "372" "B" "K1" "V0" "U2" "X1" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A2" "R0" "Q1" "O2" "M2" "T2" "D0" "B2" "J2" "J2" "J2" "I2" "oui"
"3346139" 32 147 1 1 0 0 0 14 131813 0 0 0 0 1 20105 14 11 20 52863 0 0 0 3 131813 2 120043 1 11770 0 0 0 0 0 0 4 1 0 5 270249 126828 0 0 0 "31" "1" "femme" "C" "308" "A" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A0" "R1" "Q2" "O0" "M1" "T2" "D0" "B0" "J0" "J0" "J0" "I2" "oui"
"3901483" 33 162 1 1 0 0 0 22 16302 0 0 0 0 1 8192 19 14 47 0 0 0 0 1 16302 0 0 1 16302 0 0 0 0 0 0 23 2 0 6 16327 0 0 0 0 "32" "2" "femme" "C" "345" "D" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A0" "R1" "Q1" "O0" "M1" "T1" "D1" "B2" "J0" "J0" "J0" "I1" "oui"
"5044500" 28 10 1 1 0 0 0 0 100 0 345 345 0 1 -91 0 11 2 24500 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 1 0 1 100 0 0 0 3 "31" "3" "femme" "C" "305" "D" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G1" "F1" "L0" "H0" "A0" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "J0" "J0" "J2" "I0" "oui"
"5064228" 48 3 2 1 0 0 0 26 0 0 0 0 0 1 14412 26 14 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 1 0 4 2455 0 0 0 0 "65" "1" "femme" "D" "505" "E" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q2" "O0" "M2" "T0" "D1" "B1" "J0" "J0" "J0" "I0" "oui"
"7534429" 63 2 3 0 0 0 1 27 30669 0 0 0 0 1 9871 17 18 6 0 0 0 0 1 30669 0 0 1 30669 0 0 0 0 0 0 0 1 0 1 229729 148060 0 0 0 "31" "1" "homme" "M" "308" "E" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R0" "Q2" "O1" "M2" "T1" "D2" "B0" "J0" "J0" "J0" "I2" "oui"
"133439" 48 337 3 1 0 0 3 44 2125 19 584230 0 0 1 13834 44 12 74 69000 584230 2 21986 2 2125 0 0 2 2125 0 0 0 0 0 0 28 2 0 6 82617 51218 0 7 0 "31" "1" "femme" "M" "545" "B" "K0" "V1" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "A1" "R2" "Q2" "O2" "M2" "T1" "D0" "B2" "J0" "J2" "J0" "I1" "oui"
"1231284" 62 363 3 1 0 0 2 44 223825 0 0 0 0 1 10837 44 12 48 63500 0 0 0 3 223825 2 192011 1 31814 0 0 0 0 0 0 11 2 0 4 258851 300 1 0 0 "31" "1" "femme" "M" "348" "A" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D0" "B2" "J1" "J0" "J0" "I2" "oui"
"1252382" 35 189 1 1 0 0 1 19 19122 30 259057 0 16326 1 5360 19 12 33 0 242731 0 0 3 19122 2 18841 1 281 0 0 0 0 0 0 10 2 0 4 21026 0 9 16 4 "66" "2" "femme" "C" "478" "B" "K0" "V0" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "A0" "R1" "Q1" "O1" "M1" "T1" "D0" "B1" "J2" "J2" "J2" "I1" "oui"
"1560224" 34 90 1 1 0 0 5 71 22006 1 111923 0 111923 2 14387 67 12 71 0 0 0 0 2 22006 1 6718 1 15288 0 0 0 0 0 0 10 2 1 6 144070 83549 6 0 2 "65" "4" "femme" "C" "555" "B" "K1" "V0" "U2" "X1" "Y1" "R1" "N1" "E1" "G1" "F0" "L0" "H1" "A0" "R0" "Q2" "O2" "M2" "T1" "D0" "B2" "J2" "J0" "J1" "I2" "oui"
"2448202" 40 101 1 1 0 0 3 32 559103 13 69775 0 43724 2 19163 32 12 31 0 26051 2 26153 4 559103 2 479261 2 79842 0 0 0 0 0 0 8 2 0 5 739540 137863 0 0 1 "31" "1" "femme" "C" "545" "A" "K1" "V1" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R1" "Q2" "O2" "M2" "T2" "D0" "B1" "J0" "J0" "J1" "I2" "oui"
"2454856" 54 113 3 1 0 0 0 81 0 0 0 0 0 1 167799 81 15 38 84000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 5 2 6 220433 0 0 0 0 "31" "1" "femme" "M" "475" "B" "K0" "V0" "U0" "X0" "Y0" "R1" "N1" "E0" "G0" "F1" "L0" "H0" "A2" "R1" "Q2" "O0" "M2" "T0" "D2" "B1" "J0" "J0" "J0" "I2" "oui"
"2850436" 53 63 3 1 0 0 1 11 500 53 65874 17110 48764 1 -11896 11 15 25 0 0 0 0 2 500 0 0 2 500 0 0 0 0 0 0 12 2 0 7 500 0 31 15 19 "31" "1" "femme" "M" "465" "D" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A2" "R0" "Q0" "O1" "M1" "T1" "D2" "B1" "J2" "J2" "J2" "I0" "oui"
"4004405" 34 144 3 1 0 0 0 171 218353 0 31479 21040 10439 1 -12246 104 12 54 0 0 1 19568 3 218353 1 68353 2 150000 0 0 0 0 0 0 21 3 0 6 362127 143774 30 31 27 "31" "1" "femme" "M" "380" "B" "K0" "V1" "U2" "X1" "Y2" "R1" "N0" "E0" "G1" "F0" "L0" "H1" "A0" "R1" "Q0" "O0" "M2" "T2" "D0" "B2" "J2" "J2" "J2" "I2" "oui"
"5004401" 30 26 3 1 0 0 0 49 62707 9 146581 15441 131140 1 8682 49 12 30 0 0 0 0 1 62707 0 0 1 62707 0 0 0 0 0 0 7 2 0 6 62707 0 0 1 1 "31" "1" "femme" "M" "305" "B" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A0" "R0" "Q1" "O0" "M2" "T2" "D0" "B1" "J0" "J1" "J1" "I1" "oui"
"5065825" 34 3 5 1 0 0 1 31 0 7 46076 46076 0 1 44206 31 12 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 27363 0 0 0 0 "31" "1" "femme" "U" "407" "E" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E1" "G1" "F0" "L0" "H0" "A0" "R0" "Q2" "O1" "M2" "T0" "D0" "B0" "J0" "J0" "J0" "I1" "oui"
"5065943" 78 3 3 1 0 0 0 727 1075000 0 0 0 0 1 302020 364 33 3 0 0 0 0 1 1075000 0 0 1 1075000 0 0 0 0 0 0 0 1 0 4 1078075 0 0 0 1 "31" "2" "femme" "M" "770" "E" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R0" "Q2" "O0" "M2" "T2" "D2" "B0" "J0" "J0" "J1" "I2" "oui"
"5065986" 39 3 3 1 0 0 1 3 0 0 0 0 0 1 4814 3 12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 7113 0 0 0 0 "31" "1" "femme" "M" "305" "E" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A1" "R0" "Q1" "O1" "M0" "T0" "D0" "B0" "J0" "J0" "J0" "I0" "oui"
"131747" 58 786 3 1 0 0 2 41 352969 0 0 0 0 1 20537 41 14 29 151900 0 0 0 3 352969 1 101901 2 251068 0 0 0 0 0 0 13 1 0 5 526839 164797 1 0 0 "31" "1" "femme" "M" "338" "A" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D1" "B1" "J1" "J0" "J0" "I2" "oui"
"146807" 39 247 1 1 0 0 3 2 360722 33 12220 377 11843 1 15098 1 14 51 103000 0 0 0 5 360722 0 0 4 360722 0 0 1 0 0 0 19 2 0 6 360722 0 1 3 2 "31" "1" "femme" "C" "505" "D" "K0" "V0" "U2" "X0" "Y2" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "A1" "R2" "Q2" "O2" "M0" "T2" "D1" "B2" "J1" "J2" "J1" "I2" "oui"
"552539" 34 139 3 1 0 0 0 45 848 10 723753 8153 0 2 -13406 45 14 44 192000 715600 0 0 1 848 0 0 0 0 1 848 0 0 0 0 14 1 0 7 848 0 31 28 9 "65" "1" "femme" "M" "645" "D" "K1" "V0" "U1" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L1" "H0" "A0" "R1" "Q0" "O0" "M2" "T1" "D1" "B2" "J2" "J2" "J2" "I0" "oui"
"800778" 66 770 3 1 0 0 0 27 338968 3 1903 0 1903 1 16933 27 14 39 155461 0 1 241953 4 338968 2 200158 2 138810 0 0 0 0 0 0 14 3 0 5 955495 591248 0 0 0 "31" "1" "femme" "M" "770" "A" "K0" "V1" "U2" "X2" "Y2" "R1" "N0" "E1" "G1" "F1" "L0" "H1" "A2" "R2" "Q2" "O0" "M2" "T2" "D1" "B1" "J0" "J0" "J0" "I2" "oui"
"860436" 42 49 2 1 0 0 0 22 257 21 70047 28692 41355 1 866 22 14 41 0 0 0 0 1 257 0 0 1 257 0 0 0 0 0 0 20 2 0 6 257 0 11 8 16 "31" "2" "femme" "D" "338" "C" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A1" "R0" "Q0" "O0" "M1" "T0" "D1" "B1" "J2" "J2" "J2" "I0" "oui"
"1053848" 34 182 3 1 0 0 4 41 0 12 741826 0 0 1 10590 41 15 60 15522 741826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 2 0 6 32007 0 5 5 2 "31" "1" "femme" "M" "625" "B" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L1" "H0" "A0" "R1" "Q2" "O2" "M2" "T0" "D2" "B2" "J2" "J2" "J1" "I1" "oui"
"1146168" 43 176 3 0 0 0 4 111 607952 2 506379 0 0 2 35315 111 14 68 210220 506379 1 11756 4 607952 2 515464 1 34281 1 58207 0 0 0 0 30 2 0 5 922580 191280 31 18 1 "31" "1" "homme" "M" "485" "A" "K1" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F1" "L1" "H1" "A1" "R1" "Q2" "O2" "M2" "T2" "D1" "B2" "J2" "J2" "J1" "I2" "oui"
"1163558" 51 132 2 1 0 0 1 114 0 42 576929 0 0 1 192261 114 14 85 263500 576929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 4 1 6 242557 58624 9 0 0 "31" "1" "femme" "D" "465" "C" "K0" "V0" "U0" "X0" "Y0" "R1" "N1" "E1" "G1" "F1" "L1" "H1" "A1" "R1" "Q2" "O1" "M2" "T0" "D1" "B2" "J2" "J0" "J0" "I2" "oui"
"1222222" 49 318 3 1 0 0 1 37 75439 0 0 0 0 1 35867 37 14 29 85122 0 0 0 1 75439 1 75439 0 0 0 0 0 0 0 0 12 2 0 4 125034 2500 0 0 0 "31" "1" "femme" "M" "348" "B" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A1" "R2" "Q2" "O1" "M2" "T2" "D1" "B1" "J0" "J0" "J0" "I2" "oui"
"1451001" 47 203 2 1 0 0 2 40 14686 17 274798 12523 0 1 -6456 40 15 39 0 262275 0 0 2 14686 2 14686 0 0 0 0 0 0 0 0 23 2 0 6 15286 600 20 16 17 "31" "2" "femme" "D" "388" "C" "K0" "V0" "U2" "X2" "Y0" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R1" "Q0" "O1" "M2" "T1" "D2" "B1" "J2" "J2" "J2" "I1" "oui"
"1452546" 47 88 2 1 0 0 1 30 0 0 6751 6751 0 1 5268 30 15 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 2 0 7 0 0 1 3 10 "31" "2" "femme" "D" "475" "D" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G1" "F0" "L0" "H0" "A1" "R0" "Q1" "O1" "M2" "T0" "D2" "B0" "J1" "J2" "J2" "I0" "oui"
"1644080" 56 228 3 1 0 0 1 52 373632 0 0 0 0 1 18937 46 14 12 0 0 1 7243 3 373632 1 138276 2 235356 0 0 0 0 0 0 2 1 0 4 413466 30545 0 0 0 "31" "3" "femme" "M" "428" "A" "K0" "V1" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H1" "A2" "R2" "Q2" "O1" "M2" "T2" "D1" "B0" "J0" "J0" "J0" "I2" "oui"
"2231081" 64 844 2 0 0 0 1 41 105919 6 35479 0 35479 1 7595 41 14 31 0 0 1 19100 3 105919 1 29641 2 76278 0 0 0 0 0 0 11 1 0 6 131386 20100 22 9 0 "31" "3" "homme" "D" "720" "B" "K0" "V1" "U2" "X1" "Y2" "R1" "N0" "E1" "G1" "F0" "L0" "H1" "A2" "R2" "Q1" "O1" "M2" "T2" "D1" "B1" "J2" "J2" "J0" "I2" "oui"
"2231369" 70 319 3 1 0 0 0 40 97583 0 0 0 0 1 14112 31 15 32 54000 0 0 0 2 97583 1 66531 1 31052 0 0 0 0 0 0 12 2 0 4 268263 157814 0 0 0 "31" "3" "femme" "M" "770" "A" "K0" "V0" "U2" "X1" "Y1" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "A2" "R2" "Q2" "O0" "M2" "T2" "D2" "B1" "J0" "J0" "J0" "I2" "oui"
"2241449" 51 870 3 1 0 0 1 22 116894 55 323050 30025 106187 2 -7356 22 14 45 0 186838 1 49937 4 116894 2 13827 1 108 1 102959 0 0 0 0 16 1 0 4 167951 49937 26 28 31 "31" "1" "femme" "M" "505" "A" "K1" "V1" "U2" "X2" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "A1" "R2" "Q0" "O1" "M1" "T2" "D1" "B2" "J2" "J2" "J2" "I2" "oui"
"2646853" 33 150 3 1 0 0 1 26 580 0 9586 9586 0 2 9110 26 15 34 115000 0 0 0 1 580 0 0 1 580 0 0 0 0 0 0 20 2 0 6 800 0 1 2 4 "97" "1" "femme" "M" "348" "A" "K1" "V0" "U1" "X0" "Y1" "R1" "N0" "E0" "G1" "F1" "L0" "H0" "A0" "R1" "Q2" "O1" "M2" "T1" "D2" "B1" "J1" "J1" "J2" "I0" "oui"
"3031110" 68 325 3 1 0 0 3 19 7239 22 180527 0 180527 1 -5533 19 15 23 0 0 0 0 4 7239 1 6165 2 219 1 855 0 0 0 0 0 1 0 7 10517 0 31 28 31 "31" "2" "femme" "M" "780" "B" "K0" "V0" "U2" "X1" "Y2" "R0" "N0" "E1" "G1" "F0" "L0" "H0" "A2" "R2" "Q0" "O2" "M1" "T1" "D2" "B0" "J2" "J2" "J2" "I0" "oui"
"3252819" 59 186 3 0 0 0 13 81 100604 3 97707 0 97707 1 6044 2 16 2 99660 0 1 5818 3 100604 1 27451 1 7000 1 66153 0 0 0 0 5 2 0 5 126740 5818 0 0 0 "31" "2" "homme" "M" "205" "A" "K0" "V1" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F1" "L0" "H1" "A2" "R1" "Q1" "O2" "M2" "T2" "D2" "B0" "J0" "J0" "J0" "I2" "oui"
"5002794" 32 28 1 1 0 0 7 40 15315 3 40086 0 40086 1 -11472 40 14 31 0 0 0 0 1 15315 1 15315 0 0 0 0 0 0 0 0 3 3 0 6 17795 0 31 28 26 "31" "3" "femme" "C" "505" "D" "K0" "V0" "U1" "X1" "Y0" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "A0" "R0" "Q0" "O2" "M2" "T1" "D1" "B1" "J2" "J2" "J2" "I1" "oui"
"5033438" 45 16 3 1 0 0 3 24 0 6 70827 4802 66025 1 -359 24 14 22 111100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 7 0 0 3 18 31 "65" "1" "femme" "M" "305" "C" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E1" "G1" "F1" "L0" "H0" "A1" "R0" "Q0" "O2" "M1" "T0" "D1" "B0" "J2" "J2" "J2" "I0" "oui"
"5054835" 62 8 2 1 0 0 0 0 29574 0 0 0 0 1 866 0 14 0 0 0 0 0 1 29574 0 0 1 29574 0 0 0 0 0 0 0 1 0 3 50440 0 0 0 0 "31" "1" "femme" "D" "700" "C" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "A2" "R0" "Q0" "O0" "M0" "T1" "D1" "B0" "J0" "J0" "J0" "I1" "oui"
